latitude,longitude,altitude,deviceTime,fixTime,attributes.distance,attributes.totalDistance,attributes.batteryLevel,speed,date,time,datetime,partday
-0.185668,-78.491762,2813.881629943848,2020-05-20T08:46:20.000+0000,2020-05-20T08:46:20.000+0000,0.0,47298.5,100.0,0.0,2020-05-20,08:46:20,2020-05-20 08:46:20+00:00,0
-0.185668,-78.491762,2816.863807678223,2020-05-20T08:51:21.000+0000,2020-05-20T08:51:21.000+0000,0.0,47298.5,100.0,0.0,2020-05-20,08:51:21,2020-05-20 08:51:21+00:00,0
-0.185668,-78.491762,2815.614540100098,2020-05-20T08:56:21.000+0000,2020-05-20T08:56:21.000+0000,0.0,47298.5,100.0,0.0,2020-05-20,08:56:21,2020-05-20 08:56:21+00:00,0
-0.185668,-78.491762,2816.539833068848,2020-05-20T09:01:21.000+0000,2020-05-20T09:01:21.000+0000,0.0,47298.5,100.0,0.0,2020-05-20,09:01:21,2020-05-20 09:01:21+00:00,0
-0.185616,-78.491774,2819.230506896973,2020-05-20T09:06:22.000+0000,2020-05-20T09:06:22.000+0000,5.94,47304.44,100.0,0.0,2020-05-20,09:06:22,2020-05-20 09:06:22+00:00,0
-0.185611,-78.491777,2818.013221740723,2020-05-20T09:11:22.000+0000,2020-05-20T09:11:22.000+0000,0.65,47305.09,100.0,0.0,2020-05-20,09:11:22,2020-05-20 09:11:22+00:00,0
-0.185611,-78.491777,2817.500038146973,2020-05-20T09:16:23.000+0000,2020-05-20T09:16:23.000+0000,0.0,47305.09,100.0,0.0,2020-05-20,09:16:23,2020-05-20 09:16:23+00:00,0
-0.185611,-78.491777,2817.523963928223,2020-05-20T09:21:24.000+0000,2020-05-20T09:21:24.000+0000,0.0,47305.09,100.0,0.0,2020-05-20,09:21:24,2020-05-20 09:21:24+00:00,0
-0.185611,-78.491777,2818.620887756348,2020-05-20T09:26:25.000+0000,2020-05-20T09:26:25.000+0000,0.0,47305.09,100.0,0.0,2020-05-20,09:26:25,2020-05-20 09:26:25+00:00,0
-0.185611,-78.491777,2812.460731506348,2020-05-20T09:31:25.000+0000,2020-05-20T09:31:25.000+0000,0.0,47305.09,100.0,0.0,2020-05-20,09:31:25,2020-05-20 09:31:25+00:00,0
-0.185611,-78.491777,2817.077186584473,2020-05-20T09:36:26.000+0000,2020-05-20T09:36:26.000+0000,0.0,47305.09,100.0,0.0,2020-05-20,09:36:26,2020-05-20 09:36:26+00:00,0
-0.185568,-78.491791,2816.290077209473,2020-05-20T09:41:27.000+0000,2020-05-20T09:41:27.000+0000,5.03,47310.12,100.0,0.0,2020-05-20,09:41:27,2020-05-20 09:41:27+00:00,0
-0.185568,-78.491791,2815.637245178223,2020-05-20T09:46:27.000+0000,2020-05-20T09:46:27.000+0000,0.0,47310.12,100.0,0.0,2020-05-20,09:46:27,2020-05-20 09:46:27+00:00,0
-0.185568,-78.491791,2814.609901428223,2020-05-20T09:51:28.000+0000,2020-05-20T09:51:28.000+0000,0.0,47310.12,100.0,0.0,2020-05-20,09:51:28,2020-05-20 09:51:28+00:00,0
-0.185531,-78.491817,2813.800086975098,2020-05-20T09:56:29.000+0000,2020-05-20T09:56:29.000+0000,5.03,47315.15,100.0,0.0,2020-05-20,09:56:29,2020-05-20 09:56:29+00:00,0
-0.185531,-78.491817,2813.655799865723,2020-05-20T10:01:29.000+0000,2020-05-20T10:01:29.000+0000,0.0,47315.15,100.0,0.0,2020-05-20,10:01:29,2020-05-20 10:01:29+00:00,0
-0.185531,-78.491817,2813.723670959473,2020-05-20T10:06:30.000+0000,2020-05-20T10:06:30.000+0000,0.0,47315.15,100.0,0.0,2020-05-20,10:06:30,2020-05-20 10:06:30+00:00,0
-0.185531,-78.491817,2813.692176818848,2020-05-20T10:11:31.000+0000,2020-05-20T10:11:31.000+0000,0.0,47315.15,100.0,0.0,2020-05-20,10:11:31,2020-05-20 10:11:31+00:00,0
-0.185531,-78.491817,2813.727088928223,2020-05-20T10:16:32.000+0000,2020-05-20T10:16:32.000+0000,0.0,47315.15,100.0,0.0,2020-05-20,10:16:32,2020-05-20 10:16:32+00:00,0
-0.185531,-78.491817,2813.623085021973,2020-05-20T10:21:32.000+0000,2020-05-20T10:21:32.000+0000,0.0,47315.15,100.0,0.0,2020-05-20,10:21:32,2020-05-20 10:21:32+00:00,0
-0.185531,-78.491817,2813.686561584473,2020-05-20T10:26:33.000+0000,2020-05-20T10:26:33.000+0000,0.0,47315.15,100.0,0.0,2020-05-20,10:26:33,2020-05-20 10:26:33+00:00,0
-0.185531,-78.491817,2813.892860412598,2020-05-20T10:31:34.000+0000,2020-05-20T10:31:34.000+0000,0.0,47315.15,100.0,0.0,2020-05-20,10:31:34,2020-05-20 10:31:34+00:00,0
-0.185531,-78.491817,2813.874549865723,2020-05-20T10:36:34.000+0000,2020-05-20T10:36:34.000+0000,0.0,47315.15,100.0,0.0,2020-05-20,10:36:34,2020-05-20 10:36:34+00:00,0
